cover,title,author,shelf,isbn,isbn13,asin,pages,avg_rating,num_ratings,date_pub,date_pub_edition,review,comments,read_count,date_started,date_read,goodreads_id,goodreads_url,rating_numeric
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492187905l/34373814.jpg,The Friendly Orange Glow: The Untold Story of the PLATO System and the Dawn of Cyberculture,"Dear, Brian",to-read,1101871555,9781101871553,1101871555,640.0,4.14,335,2017,2017,Write a review,0,not set[edit],,2023-05-25,34373814,https://www.goodreads.com/book/show/34373814-the-friendly-orange-glow,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746983261l/77566.jpg,"Hyperion(Hyperion Cantos, #1)","Simmons, Dan",to-read,0553283685,9780553283686,0553283685,500.0,4.27,281541,1989,1990,Write a review,0,not set[edit],,2023-05-26,77566,https://www.goodreads.com/book/show/77566.Hyperion,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636820497l/57136758.jpg,The Midrange Theory,"Partnow, Seth",to-read,1629379212,9781629379210,1629379212,288.0,4.11,658,,2021,Write a review,0,not set[edit],,2023-06-12,57136758,https://www.goodreads.com/book/show/57136758-the-midrange-theory,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327864303l/9938498.jpg,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Larson, Erik",to-read,0307408841,9780307408846,0307408841,448.0,3.89,213359,2011,2011,Write a review,0,not set[edit],,2023-06-28,9938498,https://www.goodreads.com/book/show/9938498-in-the-garden-of-beasts,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347689279l/64341.jpg,The Metamorphosis of Prime Intellect,"Williams, Roger",to-read,1411602196,9781411602199,1411602196,175.0,4.10,4090,2006,2003,Write a review,0,not set[edit],,2023-07-02,64341,https://www.goodreads.com/book/show/64341.The_Metamorphosis_of_Prime_Intellect,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417518099l/23651254.jpg,The German Generals Talk,"Hart, B.H. Liddell",to-read,,,B00QFZ6SAK,320.0,4.02,859,1948,2014,Write a review,0,not set[edit],,2023-08-01,23651254,https://www.goodreads.com/book/show/23651254-the-german-generals-talk,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421618636l/30659.jpg,Meditations,Marcus Aurelius,to-read,0140449337,9780140449334,0140449337,254.0,4.28,311802,,2006,Write a review,0,not set[edit],,2023-10-22,30659,https://www.goodreads.com/book/show/30659.Meditations,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540117500l/36262251.jpg,The Redemption of Time,Baoshu,to-read,1788542207,9781788542203,1788542207,400.0,3.64,9408,2011,2019,Write a review,0,not set[edit],,2023-11-02,36262251,https://www.goodreads.com/book/show/36262251-the-redemption-of-time,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509802323l/3876.jpg,The Sun Also Rises,"Hemingway, Ernest",to-read,,,B005PYJ9S0,189.0,3.79,475353,1926,1957,Write a review,0,not set[edit],,2023-11-04,3876,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375670575l/18114322.jpg,The Grapes of Wrath,"Steinbeck, John",to-read,067001690X,9780670016907,067001690X,496.0,4.02,963310,1939,2014,Write a review,0,not set[edit],,2023-11-04,18114322,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581412693l/48989095.jpg,Together: The Healing Power of Human Connection in a Sometimes Lonely World,"Murthy, Vivek",to-read,1094120235,9781094120232,1094120235,1.0,4.23,7812,2020,2020,Write a review,0,not set[edit],,2023-11-16,48989095,https://www.goodreads.com/book/show/48989095-together,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550119148l/43982424.jpg,Leadership in War: Essential Lessons from Those Who Made History,"Roberts, Andrew",to-read,0525522387,9780525522386,0525522387,256.0,3.80,1371,2019,2019,Write a review,0,not set[edit],,2023-11-22,43982424,https://www.goodreads.com/book/show/43982424-leadership-in-war,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977.jpg,All the Light We Cannot See,"Doerr, Anthony",to-read,1476746583,9781476746586,1476746583,544.0,4.31,1877808,2014,2014,Write a review,0,not set[edit],,2023-12-03,18143977,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,
